Step,UniqueWords
1,12
2,27
3,50
4,59
5,69
6,77
7,93
8,99
9,108
10,118
11,122
12,136
13,140
14,145
15,147
16,153
17,160
18,167
19,174
20,183
21,188
22,195
23,200
24,208
25,214
26,217
27,220
28,225
29,231
30,240
31,248
32,256
33,261
34,267
35,270
36,275
37,279
38,281
39,286
40,292
41,293
42,300
43,305
44,305
45,314
46,327
47,330
48,332
49,338
50,341
51,345
52,351
53,355
54,359
55,366
56,374
57,383
58,391
59,398
60,400
61,408
62,412
63,417
64,419
65,423
66,428
67,434
68,435
69,442
70,444
71,445
72,447
73,454
74,463
75,465
76,466
77,470
78,473
79,478
80,480
81,482
82,485
83,491
84,494
85,499
86,503
87,508
88,512
89,515
90,521
91,524
92,527
93,531
94,533
95,542
96,545
97,546
98,552
99,558
100,561
101,565
102,566
103,574
104,579
105,584
106,584
107,589
108,591
109,594
110,600
111,604
112,609
113,616
114,618
115,619
116,620
117,625
118,628
119,632
120,633
121,635
122,637
123,640
124,645
125,648
126,653
127,657
128,658
129,662
130,663
131,667
132,669
133,671
134,674
135,676
136,680
137,683
138,683
139,687
140,692
141,696
142,697
143,700
144,702
145,708
146,711
147,714
148,717
149,720
150,724
151,726
152,730
153,735
154,738
155,740
156,742
157,742
158,747
159,754
160,756
161,761
162,765
163,769
164,770
165,776
166,780
167,781
168,784
169,786
170,789
171,792
172,793
173,794
174,800
175,807
176,807
177,814
178,815
179,819
180,821
181,822
182,826
183,829
184,832
185,834
186,836
187,837
188,843
189,846
190,850
191,850
192,850
193,851
194,853
195,859
196,860
197,862
198,863
199,863
200,867
201,871
202,871
203,873
204,874
205,875
206,875
207,878
208,886
209,888
210,889
211,893
212,897
213,899
214,904
215,905
216,905
217,908
218,909
219,911
220,914
221,914
222,915
223,917
224,920
225,920
226,924
227,924
228,925
229,927
230,931
231,931
232,932
233,934
234,939
235,943
236,947
237,952
238,952
239,953
240,956
241,959
242,963
243,963
244,966
245,970
246,974
247,976
248,983
249,983
250,984
251,986
252,989
253,991
254,993
255,994
256,994
257,998
258,1001
259,1004
260,1004
261,1006
262,1009
263,1012
264,1013
265,1015
266,1017
267,1019
268,1019
269,1023
270,1025
271,1025
272,1027
273,1032
274,1033
275,1041
276,1042
277,1043
278,1047
279,1049
280,1049
281,1051
282,1055
283,1058
284,1063
285,1064
286,1064
287,1067
288,1067
289,1070
290,1071
291,1073
292,1073
293,1075
294,1078
295,1080
296,1084
297,1087
298,1087
299,1088
300,1091
301,1091
302,1095
303,1104
304,1105
305,1108
306,1109
307,1111
308,1113
309,1115
310,1117
311,1118
312,1120
313,1122
314,1124
315,1126
316,1128
317,1129
318,1130
319,1133
320,1135
321,1136
322,1137
323,1139
324,1140
325,1140
326,1144
327,1146
328,1148
329,1153
330,1156
331,1157
332,1161
333,1165
334,1170
335,1170
336,1170
337,1172
338,1178
339,1180
340,1182
341,1186
342,1190
343,1193
344,1194
345,1195
346,1195
347,1203
348,1203
349,1204
350,1207
351,1210
352,1213
353,1214
354,1215
355,1217
356,1217
357,1217
358,1219
359,1219
360,1220
361,1221
362,1224
363,1225
364,1226
365,1227
366,1233
367,1233
368,1233
369,1236
370,1238
371,1246
372,1249
373,1249
374,1253
375,1257
376,1257
377,1259
378,1260
379,1262
380,1263
381,1264
382,1266
383,1266
384,1269
385,1269
386,1269
387,1269
388,1270
389,1271
390,1273
391,1275
392,1280
393,1282
394,1284
395,1286
396,1289
397,1290
398,1290
399,1292
400,1292
401,1292
402,1293
403,1294
404,1295
405,1297
406,1297
407,1298
408,1304
409,1307
410,1309
411,1310
412,1311
413,1311
414,1318
415,1320
416,1321
417,1321
418,1321
419,1323
420,1323
421,1323
422,1323
423,1323
424,1326
425,1328
426,1330
427,1332
428,1336
429,1338
430,1343
431,1345
432,1347
433,1347
434,1354
435,1356
436,1360
437,1362
438,1364
439,1367
440,1370
441,1371
442,1371
443,1371
444,1373
445,1377
446,1384
447,1385
448,1387
449,1388
450,1393
451,1394
452,1396
453,1400
454,1401
455,1403
456,1408
457,1410
458,1412
459,1412
460,1412
461,1412
462,1414
463,1416
464,1419
465,1422
466,1423
467,1423
468,1423
469,1428
470,1429
471,1432
472,1433
473,1435
474,1437
475,1437
476,1437
477,1437
478,1442
479,1444
480,1449
481,1453
482,1455
483,1457
484,1462
485,1463
486,1463
487,1463
488,1464
489,1465
490,1466
491,1468
492,1469
493,1470
494,1474
495,1474
496,1474
497,1479
498,1479
499,1479
500,1481
501,1482
502,1483
503,1486
504,1490
505,1492
506,1492
507,1495
508,1495
509,1498
510,1499
511,1500
512,1500
513,1504
514,1506
515,1506
516,1509
517,1510
518,1511
519,1511
520,1511
521,1511
522,1515
523,1515
524,1518
525,1519
526,1521
527,1523
528,1527
529,1527
530,1528
531,1529
532,1529
533,1530
534,1530
535,1532
536,1533
537,1534
538,1534
539,1536
540,1536
541,1539
542,1547
543,1549
544,1549
545,1551
546,1553
547,1557
548,1559
549,1562
550,1562
551,1563
552,1564
553,1566
554,1566
555,1569
556,1569
557,1572
558,1574
559,1574
560,1576
561,1576
562,1577
563,1580
564,1580
565,1581
566,1583
567,1584
568,1584
569,1584
570,1584
571,1584
572,1584
573,1586
574,1586
575,1589
576,1591
577,1594
578,1596
579,1597
580,1601
581,1601
582,1601
583,1603
584,1604
585,1607
586,1607
587,1608
588,1609
589,1610
590,1614
591,1622
592,1625
593,1627
594,1630
595,1633
596,1640
597,1640
598,1641
599,1642
600,1643
601,1646
602,1646
603,1648
604,1650
605,1652
606,1657
607,1657
608,1658
609,1658
610,1662
611,1663
612,1665
613,1666
614,1666
615,1668
616,1669
617,1669
618,1671
619,1671
620,1673
621,1676
622,1677
623,1678
624,1679
625,1682
626,1683
627,1687
628,1687
629,1690
630,1691
631,1691
632,1692
633,1694
634,1696
635,1696
636,1696
637,1697
638,1701
639,1708
640,1710
641,1715
642,1718
643,1719
644,1720
645,1722
646,1722
647,1722
648,1722
649,1726
650,1730
651,1737
652,1738
653,1738
654,1740
655,1740
656,1741
657,1747
658,1747
659,1748
660,1751
661,1752
662,1756
663,1757
664,1757
665,1757
666,1757
667,1760
668,1762
669,1763
670,1763
671,1765
672,1767
673,1768
674,1768
675,1770
676,1771
677,1773
678,1775
679,1780
680,1783
681,1786
682,1788
683,1789
684,1793
685,1794
686,1796
687,1798
688,1798
689,1803
690,1807
691,1807
692,1807
693,1811
694,1814
695,1817
696,1818
697,1820
698,1820
699,1823
700,1826
701,1827
702,1827
703,1827
704,1827
705,1829
706,1834
707,1838
708,1839
709,1839
710,1843
711,1843
712,1843
713,1843
714,1844
715,1847
716,1847
717,1849
718,1849
719,1851
720,1853
721,1854
722,1854
723,1854
724,1855
725,1855
726,1855
727,1856
728,1859
729,1861
730,1861
731,1863
732,1863
733,1863
734,1863
735,1863
736,1863
737,1865
738,1866
739,1866
740,1866
741,1866
742,1869
743,1872
744,1873
745,1873
746,1873
747,1875
748,1878
749,1882
750,1884
751,1884
752,1885
753,1885
754,1885
755,1886
756,1886
757,1887
758,1888
759,1888
760,1888
761,1888
762,1888
763,1888
764,1892
765,1893
766,1893
767,1894
768,1894
769,1894
770,1895
771,1898
772,1899
773,1900
774,1903
775,1904
776,1905
777,1906
778,1907
779,1909
780,1910
781,1911
782,1911
783,1912
784,1914
785,1916
786,1917
787,1917
788,1919
789,1920
790,1920
791,1923
792,1924
793,1925
794,1927
795,1927
796,1927
797,1930
798,1932
799,1933
800,1936
801,1938
802,1939
803,1939
804,1941
805,1944
806,1946
807,1949
808,1949
809,1949
810,1952
811,1952
812,1955
813,1956
814,1956
815,1959
816,1960
817,1963
818,1965
819,1970
820,1970
821,1971
822,1974
823,1975
824,1978
825,1980
826,1980
827,1980
828,1981
829,1981
830,1985
831,1988
832,1988
833,1989
834,1990
835,1994
836,1999
837,2003
838,2003
839,2004
840,2008
841,2009
842,2009
843,2010
844,2013
845,2014
846,2016
847,2016
848,2016
849,2018
850,2020
851,2023
852,2023
853,2023
854,2025
855,2027
856,2028
857,2029
858,2029
859,2029
860,2031
861,2032
862,2034
863,2035
864,2036
865,2036
866,2039
867,2042
868,2043
869,2044
870,2045
871,2046
872,2047
873,2048
874,2048
875,2048
876,2050
877,2051
878,2051
879,2051
880,2052
881,2054
882,2056
883,2056
884,2058
885,2059
886,2060
887,2068
888,2068
889,2069
890,2069
891,2069
892,2070
893,2072
894,2073
895,2073
896,2074
897,2075
898,2078
899,2079
900,2080
901,2081
902,2082
903,2082
904,2083
905,2083
906,2085
907,2085
908,2086
909,2086
910,2087
911,2087
912,2087
913,2090
914,2091
915,2092
916,2094
917,2096
918,2099
919,2101
920,2104
921,2104
922,2108
923,2109
924,2110
925,2110
926,2110
927,2113
928,2113
929,2121
930,2122
931,2123
932,2123
933,2124
934,2124
935,2124
936,2124
937,2124
938,2125
939,2125
940,2125
941,2127
942,2128
943,2128
944,2130
945,2130
946,2132
947,2133
948,2133
949,2134
950,2136
951,2136
952,2137
953,2138
954,2138
955,2138
956,2140
957,2140
958,2140
959,2143
960,2143
961,2144
962,2144
963,2144
964,2145
965,2146
966,2146
967,2147
968,2148
969,2148
970,2148
971,2149
972,2150
973,2150
974,2150
975,2151
976,2153
977,2154
978,2155
979,2160
980,2160
981,2160
982,2160
983,2162
984,2162
985,2163
986,2163
987,2166
988,2167
989,2169
990,2173
991,2173
992,2174
993,2175
994,2175
995,2180
996,2180
997,2182
998,2185
999,2187
1000,2187
